customer_id,signup_date,plan,region,segment,monthly_spend,support_tickets,days_active,engagement_score,churned,tenure_days,last_activity_date,signup_month,cohort
CUST0001,2024-05-01,Pro,North America,SMB,21.32,0,250,57,0,326,2025-03-23,2024-05,2024-05
CUST0002,2023-03-01,Basic,LATAM,Individual,38.2,1,193,34,0,223,2023-10-10,2023-03,2023-03
CUST0003,2022-08-01,Basic,Asia,SMB,57.78,2,509,37,0,533,2024-01-16,2022-08,2022-08
CUST0004,2023-09-01,Pro,Asia,Enterprise,61.76,1,484,71,1,557,2025-03-11,2023-09,2023-09
CUST0005,2023-07-01,Basic,North America,SMB,9.75,1,404,48,0,427,2024-08-31,2023-07,2023-07
CUST0006,2023-11-01,Basic,North America,Enterprise,53.11,1,249,79,1,313,2024-09-09,2023-11,2023-11
CUST0007,2022-11-01,Enterprise,Europe,SMB,33.89,3,283,40,0,307,2023-09-04,2022-11,2022-11
CUST0008,2022-11-01,Free,Asia,Enterprise,34.24,2,217,36,0,244,2023-07-03,2022-11,2022-11
CUST0009,2023-12-01,Free,Europe,Enterprise,44.08,1,220,37,0,255,2024-08-12,2023-12,2023-12
CUST0010,2024-12-01,Basic,North America,Individual,26.34,0,418,76,0,499,2026-04-14,2024-12,2024-12
CUST0011,2023-12-01,Enterprise,LATAM,Enterprise,54.74,1,244,56,0,249,2024-08-06,2023-12,2023-12
CUST0012,2022-03-01,Free,North America,Individual,60.63,1,404,79,0,469,2023-06-13,2022-03,2022-03
CUST0013,2023-10-01,Free,Africa,Enterprise,61.3,0,115,57,1,181,2024-03-30,2023-10,2023-10
CUST0014,2022-02-01,Free,North America,SMB,5.0,2,503,31,1,574,2023-08-29,2022-02,2022-02
CUST0015,2023-12-01,Free,Asia,Individual,30.87,1,647,94,0,694,2025-10-25,2023-12,2023-12
CUST0016,2024-06-01,Free,North America,SMB,5.0,1,560,92,1,642,2026-03-05,2024-06,2024-06
CUST0017,2022-02-01,Basic,Africa,Enterprise,21.22,2,76,20,1,145,2022-06-26,2022-02,2022-02
