Order ID,Order Date,Region,Category,Product,Quantity,Unit Price,Revenue,Cost,Profit
ORD-1000,2024-04-24,North,Fashion,Backpack,2,79,183.84,139.72,44.12
ORD-1001,2024-04-14,North,Health & Beauty,Skincare Kit,1,69,79.0,51.35,27.65
ORD-1002,2024-08-26,North,Home & Kitchen,Lamp,2,59,117.99,86.13,31.86
ORD-1003,2024-10-11,North,Home & Kitchen,Lamp,3,59,189.67,138.46,51.21
ORD-1004,2024-08-08,East,Electronics,Laptop,4,899,4125.7,2970.5,1155.2
ORD-1005,2024-12-18,East,Electronics,Headphones,5,149,804.53,506.85,297.68
ORD-1006,2025-01-22,North,Fashion,Jacket,5,159,847.05,601.41,245.64
ORD-1007,2024-03-12,North,Home & Kitchen,Air Fryer,1,149,148.04,103.63,44.41
ORD-1008,2024-04-13,West,Fashion,Watch,3,219,800.05,544.03,256.02
ORD-1009,2024-12-29,South,Fashion,Shoes,5,119,558.79,413.5,145.29
ORD-1010,2025-06-30,South,Home & Kitchen,Lamp,4,59,212.78,155.33,57.45
ORD-1011,2024-08-12,East,Electronics,Smartphone,1,699,756.17,506.63,249.54
ORD-1012,2025-02-14,East,Electronics,Smartphone,5,699,3757.77,2517.71,1240.06
ORD-1013,2024-11-18,South,Health & Beauty,Vitamin Pack,4,39,172.03,123.86,48.17
ORD-1014,2024-05-22,South,Fashion,Watch,5,219,1206.09,820.14,385.95
ORD-1015,2024-08-12,South,Health & Beauty,Skincare Kit,1,69,66.06,42.94,23.12
ORD-1016,2024-06-05,South,Health & Beauty,Skincare Kit,4,69,259.55,168.71,90.84
ORD-1017,2025-04-24,East,Electronics,Laptop,5,899,5161.65,3716.39,1445.26
ORD-1018,2024-12-14,North,Fashion,Watch,2,219,443.46,301.55,141.91
ORD-1019,2024-09-26,South,Electronics,Tablet,5,499,2710.2,1924.24,785.96
ORD-1020,2024-06-05,East,Home & Kitchen,Blender,5,89,415.9,286.97,128.93
ORD-1021,2024-01-20,North,Fashion,Jacket,2,159,342.52,243.19,99.33
ORD-1022,2024-03-21,North,Health & Beauty,Skincare Kit,5,69,363.6,236.34,127.26
ORD-1023,2024-05-11,West,Home & Kitchen,Air Fryer,5,149,817.67,572.37,245.3
ORD-1024,2025-03-09,South,Home & Kitchen,Air Fryer,4,149,550.98,385.69,165.29
ORD-1025,2025-01-17,West,Health & Beauty,Skincare Kit,2,69,150.75,97.99,52.76
ORD-1026,2024-12-12,North,Home & Kitchen,Coffee Maker,1,129,125.51,82.84,42.67
ORD-1027,2024-03-01,South,Electronics,Laptop,3,899,3062.2,2204.78,857.42
ORD-1028,2024-08-31,East,Health & Beauty,Hair Dryer,5,99,524.34,367.04,157.3
ORD-1029,2025-04-29,South,Health & Beauty,Vitamin Pack,2,39,84.1,60.55,23.55
ORD-1030,2025-03-17,East,Health & Beauty,Vitamin Pack,4,39,159.87,115.11,44.76
ORD-1031,2024-02-25,North,Electronics,Headphones,3,149,493.32,310.79,182.53
ORD-1032,2024-04-21,South,Home & Kitchen,Coffee Maker,5,129,641.8,423.59,218.21
ORD-1033,2025-03-08,South,Fashion,Watch,2,219,439.31,298.73,140.58
ORD-1034,2024-03-18,West,Electronics,Laptop,5,899,5332.61,3839.48,1493.13
ORD-1035,2024-04-05,South,Home & Kitchen,Lamp,4,59,234.19,170.96,63.23
ORD-1036,2025-02-14,North,Home & Kitchen,Lamp,1,59,56.37,41.15,15.22
ORD-1037,2024-09-28,West,Fashion,Watch,5,219,1245.2,846.74,398.46
ORD-1038,2025-05-13,South,Home & Kitchen,Air Fryer,2,149,291.32,203.92,87.4
ORD-1039,2024-03-03,East,Electronics,Laptop,5,899,5140.58,3701.22,1439.36
ORD-1040,2025-06-27,South,Electronics,Laptop,2,899,1873.26,1348.75,524.51
ORD-1041,2024-03-10,South,Health & Beauty,Skincare Kit,5,69,357.58,232.43,125.15
ORD-1042,2024-02-10,North,Health & Beauty,Perfume,3,89,286.75,192.12,94.63
ORD-1043,2024-11-17,South,Fashion,Watch,2,219,471.58,320.67,150.91
ORD-1044,2024-11-03,West,Fashion,Shoes,1,119,145.23,107.47,37.76
ORD-1045,2024-04-12,North,Home & Kitchen,Air Fryer,2,149,302.2,211.54,90.66
ORD-1046,2024-03-11,South,Fashion,Jacket,2,159,330.92,234.95,95.97
ORD-1047,2024-11-05,North,Fashion,Shoes,2,119,281.47,208.29,73.18
ORD-1048,2024-04-19,South,Fashion,Jacket,5,159,866.12,614.95,251.17
ORD-1049,2024-12-17,South,Fashion,Watch,3,219,602.96,410.01,192.95
ORD-1050,2024-02-22,North,Health & Beauty,Perfume,1,89,97.14,65.08,32.06
ORD-1051,2024-05-13,East,Home & Kitchen,Lamp,5,59,307.13,224.2,82.93
ORD-1052,2024-01-10,North,Electronics,Smartphone,5,699,3992.93,2675.26,1317.67
ORD-1053,2025-01-13,South,Health & Beauty,Hair Dryer,1,99,96.47,67.53,28.94
ORD-1054,2024-02-10,East,Home & Kitchen,Coffee Maker,1,129,127.49,84.14,43.35
ORD-1055,2025-02-20,South,Home & Kitchen,Coffee Maker,2,129,234.24,154.6,79.64
ORD-1056,2024-01-26,South,Fashion,Watch,2,219,436.83,297.04,139.79
ORD-1057,2024-04-20,West,Electronics,Headphones,2,149,383.08,241.34,141.74
ORD-1058,2025-04-16,East,Fashion,Backpack,2,79,181.96,138.29,43.67
ORD-1059,2024-07-16,West,Fashion,Jacket,1,159,166.45,118.18,48.27
ORD-1060,2024-10-12,East,Health & Beauty,Perfume,1,89,99.75,66.83,32.92
ORD-1061,2024-09-24,South,Fashion,Shoes,1,119,122.21,90.44,31.77
ORD-1062,2024-12-19,East,Health & Beauty,Skincare Kit,4,69,258.7,168.16,90.54
ORD-1063,2024-07-13,East,Electronics,Headphones,1,149,160.44,101.08,59.36
ORD-1064,2024-07-20,East,Health & Beauty,Skincare Kit,3,69,204.61,133.0,71.61
ORD-1065,2024-05-07,East,Fashion,Watch,3,219,753.31,512.25,241.06
ORD-1066,2024-10-29,South,Home & Kitchen,Lamp,4,59,230.37,168.17,62.2
ORD-1067,2024-06-27,East,Health & Beauty,Skincare Kit,3,69,204.27,132.78,71.49
ORD-1068,2025-03-16,East,Health & Beauty,Vitamin Pack,4,39,162.46,116.97,45.49
ORD-1069,2025-06-07,West,Home & Kitchen,Blender,3,89,262.65,181.23,81.42
ORD-1070,2024-12-09,North,Home & Kitchen,Air Fryer,2,149,272.78,190.95,81.83
ORD-1071,2024-05-30,North,Electronics,Smartphone,4,699,3401.9,2279.27,1122.63
ORD-1072,2024-03-15,West,Health & Beauty,Hair Dryer,4,99,447.73,313.41,134.32
ORD-1073,2024-09-06,South,Electronics,Laptop,4,899,4034.33,2904.72,1129.61
ORD-1074,2025-06-14,West,Electronics,Smartphone,1,699,785.54,526.31,259.23
ORD-1075,2025-04-20,East,Health & Beauty,Vitamin Pack,5,39,212.72,153.16,59.56
ORD-1076,2024-06-11,West,Health & Beauty,Perfume,2,89,179.32,120.14,59.18
ORD-1077,2024-10-10,West,Home & Kitchen,Air Fryer,4,149,680.63,476.44,204.19
ORD-1078,2024-10-19,South,Fashion,Jacket,3,159,490.81,348.48,142.33
ORD-1079,2024-03-23,South,Home & Kitchen,Coffee Maker,4,129,489.52,323.08,166.44
ORD-1080,2024-08-07,North,Health & Beauty,Vitamin Pack,3,39,122.2,87.98,34.22
ORD-1081,2025-03-01,North,Home & Kitchen,Lamp,4,59,233.49,170.45,63.04
ORD-1082,2024-01-21,West,Health & Beauty,Skincare Kit,3,69,224.77,146.1,78.67
ORD-1083,2025-02-03,West,Home & Kitchen,Lamp,2,59,125.53,91.64,33.89
ORD-1084,2025-05-12,North,Health & Beauty,Perfume,4,89,397.25,266.16,131.09
ORD-1085,2025-04-23,South,Electronics,Headphones,5,149,834.65,525.83,308.82
ORD-1086,2024-01-28,North,Health & Beauty,Hair Dryer,4,99,414.01,289.81,124.2
ORD-1087,2024-09-23,West,Fashion,Backpack,4,79,369.51,280.83,88.68
ORD-1088,2025-01-23,East,Health & Beauty,Perfume,1,89,89.1,59.7,29.4
ORD-1089,2024-02-23,East,Home & Kitchen,Blender,1,89,85.06,58.69,26.37
